adopt-imaging-parallel;adopt-imaging-single;adopt-pure;amazoncorretto-imaging-parallel;amazoncorretto-imaging-single;amazoncorretto-pure;graaljdk-imaging-parallel;graaljdk-imaging-single;graaljdk-pure;openjdk-imaging-parallel;openjdk-imaging-single;openjdk-opencv;openjdk-openimaj;openjdk-pure;zulu-imaging-parallel;zulu-imaging-single;zulu-pure;python-pure-simple;python-with-itertools;python-pure-simple-with-numba;python-pure-simple-with-numba-parallel;python-itertools-with-numba;python-with-numpy;python-with-numpy-with-numba;python-with-numpy-with-numba-parallel;python-with-numpy-and-scipy;python-with-opencv
128;265;234;115;260;232;114;228;163;134;266;0.378;31;260;135;277;246;14491;13137;238;194;3365;8599;83;91.41;34;4.64
127;267;236;115;261;237;116;225;163;119;265;0.3914;31;236;136;277;249;14527;13137;237;203;3370;8640;83;3.90;34;4.58
127;266;235;103;259;236;114;226;163;133;265;0.3787;30;235;122;277;247;14555;13133;238;196;3361;8647;83;3.86;34;4.63
127;266;235;115;259;233;114;226;163;120;269;0.3904;31;236;123;276;274;14567;13139;238;109;3369;8645;83;4.01;34;4.60
113;266;234;116;260;233;103;225;165;134;266;0.3783;30;235;135;275;248;14465;13175;238;102;3365;8655;83;91.54;34;4.61
127;268;236;115;261;233;114;227;164;134;264;0.4149;34;236;136;279;249;14495;13165;238;198;3365;8643;83;4.13;34;4.59
127;265;235;102;262;231;114;227;163;119;264;0.393;31;238;135;277;248;14504;13206;237;97;3368;8659;83;4.24;34;4.71
127;267;234;114;260;230;103;226;163;121;266;0.4042;31;235;135;276;248;14423;13203;239;199;3363;8645;83;91.37;34;4.71
113;267;234;116;260;231;115;226;163;132;266;0.4051;31;236;134;275;248;14352;13202;238;104;3368;8646;83;3.93;34;4.56
127;266;235;115;261;229;114;226;164;133;265;0.3877;30;235;121;277;247;14393;13200;238;198;3361;8604;85;3.91;34;4.61
127;267;237;114;262;231;113;225;164;133;265;0.3808;30;236;121;277;247;14570;13206;237;193;3372;8627;84;91.52;34;4.66
113;266;235;102;260;230;113;226;164;132;266;0.3805;31;236;136;276;247;14571;13214;239;110;3366;8595;83;3.87;34;4.65
127;266;235;116;263;233;115;226;164;133;265;0.3933;34;237;122;276;247;14550;13121;239;191;3368;8590;84;3.86;34;4.56
113;268;235;102;259;233;104;225;163;119;266;0.3809;30;236;136;278;248;14502;13158;239;110;3406;8617;83;91.17;34;4.58
113;267;237;116;261;232;104;226;164;132;266;0.3937;31;236;123;276;248;14546;13210;238;98;3356;8634;83;4.16;34;4.67
130;272;235;102;261;235;114;239;163;151;268;0.3804;31;237;121;275;247;14495;13197;238;189;3364;8643;83;4.09;34;4.57
145;268;234;101;262;235;114;227;164;133;265;0.3929;31;236;122;276;248;14504;13199;238;111;3365;8644;83;91.72;34;4.66
112;267;234;115;261;234;104;227;164;132;265;0.3806;30;236;136;276;249;14522;13213;237;198;3373;8658;83;4.08;34;4.56
126;267;236;102;261;240;104;226;165;132;267;0.3933;31;239;122;276;248;14516;13227;237;198;3359;8642;83;4.09;34;4.70
114;265;238;115;261;243;114;229;163;137;269;0.3802;34;236;147;276;248;14479;13187;239;105;3368;8608;83;91.33;34;4.58
126;266;234;115;262;241;114;227;165;133;289;0.3803;30;237;136;277;247;14525;13139;237;199;3364;8602;83;4.12;34;4.65
127;265;234;102;262;240;114;226;164;126;265;0.381;30;237;136;275;250;14533;13138;238;199;3365;8603;83;4.13;34;4.55
114;265;234;115;260;244;103;230;164;125;267;0.3835;30;236;135;277;247;14548;13136;238;198;3368;8638;83;91.43;34;4.66
113;266;236;116;286;242;103;227;164;126;266;0.3909;30;236;123;275;248;14582;13149;238;102;3366;8614;83;3.92;34;4.58
113;266;234;103;262;242;114;228;166;126;265;0.3787;31;236;122;280;247;14547;13184;238;198;3371;8630;83;3.90;34;4.60
114;265;235;116;261;239;113;227;164;111;265;0.39;31;236;136;276;249;14480;13193;238;197;3348;8598;83;91.29;34;4.63
126;266;234;103;257;234;106;227;163;125;266;0.3786;34;236;135;276;248;14573;13200;238;101;3338;8592;83;3.41;34;4.66
